spectral_axis,intensity,uncertainty
5310.16,392.776306,392.758179
5311.63,458.305328,448.517273
5313.1,381.240387,619.003662
5314.57,352.145081,1057.282715
5316.04,453.360565,448.47226
5317.51,382.351288,382.332581
5318.98,372.554626,367.878204
5320.45,412.414307,403.48996
5321.92,477.876465,472.917053
5323.39,376.801636,371.183929
5324.86,398.927124,390.104828
5326.33,362.148102,368.161865
5327.8,382.670288,380.324707
5329.27,350.879486,353.999329
5330.74,370.262024,369.625458
5332.21,361.108093,365.792206
5333.68,412.296631,412.5401
5335.15,433.792084,433.110748
5336.62,389.122925,387.552002
5338.09,401.813263,401.805298
5339.56,395.447845,397.009247
5341.03,402.119141,400.739288
5342.5,417.080322,412.298706
5343.97,412.556915,412.337219
5345.44,371.193939,371.988129
5346.91,413.050903,415.051575
5348.38,390.842804,381.479065
5349.85,409.193207,408.67514
5351.32,362.55777,359.266205
5352.79,418.688782,421.303589
5354.26,403.542816,399.957062
5355.73,393.403503,423.774689
5357.2,403.749908,407.878571
5358.67,439.408508,437.243439
5360.14,441.239868,448.435333
5361.61,421.875824,417.795837
5363.08,468.252899,466.12149
5364.55,431.623932,429.561188
5366.02,438.752716,432.537933
5367.49,472.788513,470.20047
5368.96,445.06601,451.293457
5370.43,424.100769,420.598816
5371.9,423.652039,423.487274
5373.37,403.578888,407.425293
5374.84,385.462158,379.818268
5376.31,411.42572,411.893311
5377.78,422.579224,421.895355
5379.25,394.297089,388.602051
5380.72,460.190765,453.792847
5382.19,448.302551,451.273895
5383.66,437.346313,429.578949
5385.12,389.124725,395.662659
5386.59,420.161987,419.441895
5388.06,384.643494,383.381073
5389.53,332.266998,330.053467
5391,376.66394,376.002869
5392.47,367.346252,369.21814
5393.94,332.678253,336.434479
5395.41,381.55307,382.157715
5396.88,333.453339,332.852234
5398.35,335.349579,335.503418
5399.82,438.254333,440.783356
5401.29,434.426453,440.021393
5402.76,443.852173,448.749329
5404.23,380.23053,387.035645
5405.7,402.99115,406.247742
5407.17,433.307159,433.797241
5408.64,439.046417,441.812561
5410.11,429.365417,432.194946
5411.58,464.793884,460.932953
5413.05,400.057892,398.373383
5414.52,457.288635,456.619141
5415.99,455.395905,453.596436
5417.46,451.838654,449.606873
5418.93,441.986725,445.328644
5420.4,417.088684,413.542725
5421.87,423.57782,427.521698
5423.34,428.071014,436.830994
5424.81,413.898102,406.499542
5426.28,464.297729,469.270203
5427.75,436.948822,436.862915
5429.22,496.947571,489.056427
5430.69,463.712402,460.01062
5432.16,439.689972,439.107391
5433.63,465.525177,465.186188
5435.1,455.031525,454.65036
5436.57,461.985809,458.406158
5438.04,469.853912,467.804993
5439.51,493.965546,497.081421
5440.98,481.558044,486.034729
5442.45,476.952545,475.472961
5443.92,426.838959,429.863983
5445.39,474.974915,474.001038
5446.86,423.684326,421.419067
5448.33,441.221893,439.863617
5449.8,420.273743,419.737061
5451.27,373.92865,374.067169
5452.74,397.289307,391.98584
5454.21,430.087372,427.334839
5455.68,397.986359,395.642914
5457.15,396.793213,397.384705
5458.62,427.683136,431.632965
5460.09,423.373169,422.161072
5461.56,424.164856,423.823212
5463.03,449.24054,452.535217
