spectral_axis,intensity
7537.6,2.29E-15
7541.6,2.45E-15
7545.7,2.59E-15
7549.7,2.71E-15
7553.7,2.90E-15
7557.7,3.11E-15
7561.8,3.33E-15
7565.8,3.62E-15
7569.8,3.93E-15
7573.8,4.34E-15
7577.9,4.76E-15
7581.9,5.18E-15
7585.9,5.60E-15
7589.9,5.85E-15
7593.9,5.52E-15
7598,3.89E-15
7602,2.63E-15
7606,2.12E-15
7610,2.23E-15
7614.1,2.93E-15
7618.1,4.11E-15
7622.1,4.18E-15
7626.1,3.39E-15
7630.2,2.91E-15
7634.2,2.71E-15
7638.2,2.58E-15
7642.2,2.50E-15
7646.3,2.44E-15
7650.3,2.42E-15
7654.3,2.40E-15
7658.3,2.36E-15
7662.4,2.33E-15
7666.4,2.30E-15
7670.4,2.21E-15
7674.4,2.16E-15
7678.4,2.15E-15
7682.5,2.08E-15
7686.5,2.02E-15
7690.5,1.95E-15
7694.5,1.90E-15
7698.6,1.87E-15
7702.6,1.81E-15
7706.6,1.75E-15
7710.6,1.72E-15
7714.7,1.68E-15
7718.7,1.64E-15
7722.7,1.60E-15
7726.7,1.55E-15
7730.8,1.54E-15
7734.8,1.51E-15
7738.8,1.48E-15
7742.8,1.46E-15
7746.8,1.44E-15
7750.9,1.40E-15
7754.9,1.40E-15
7758.9,1.38E-15
7762.9,1.37E-15
7767,1.33E-15
7771,1.34E-15
7775,1.40E-15
7779,1.33E-15
7783.1,1.35E-15
7787.1,1.30E-15
7791.1,1.29E-15
7795.1,1.27E-15
7799.2,1.27E-15
7803.2,1.24E-15
7807.2,1.24E-15
7811.2,1.26E-15
7815.3,1.22E-15
7819.3,1.20E-15
7823.3,1.20E-15
7827.3,1.15E-15
7831.3,1.17E-15
7835.4,1.16E-15
7839.4,1.17E-15
7843.4,1.17E-15
7847.4,1.15E-15
7851.5,1.13E-15
7855.5,1.15E-15
7859.5,1.14E-15
7863.5,1.14E-15
7867.6,1.13E-15
7871.6,1.13E-15
7875.6,1.11E-15
7879.6,1.11E-15
7883.7,1.10E-15
7887.7,1.09E-15
7891.7,1.11E-15
7895.7,1.07E-15
7899.8,1.08E-15
7903.8,1.07E-15
7907.8,1.06E-15
7911.8,1.09E-15
7915.8,1.06E-15
7919.9,1.09E-15
7923.9,1.06E-15
7927.9,1.07E-15
7931.9,1.05E-15
7936,1.04E-15
7940,1.05E-15
7944,1.05E-15
7948,1.06E-15
7952.1,1.06E-15
7956.1,1.04E-15
7960.1,1.02E-15
7964.1,1.02E-15
7968.2,1.04E-15
7972.2,1.04E-15
7976.2,1.02E-15
7980.2,1.02E-15
7984.3,1.04E-15
7988.3,1.01E-15
7992.3,1.02E-15
7996.3,1.03E-15
8000.3,9.89E-16
8004.4,1.01E-15
8008.4,1.01E-15
8012.4,1.02E-15
8016.4,1.02E-15
8020.5,1.01E-15
8024.5,1.00E-15
8028.5,1.02E-15
8032.5,9.83E-16
8036.6,1.02E-15
8040.6,9.91E-16
8044.6,9.74E-16
8048.6,9.87E-16
8052.7,9.97E-16
8056.7,9.87E-16
8060.7,9.90E-16
8064.7,1.00E-15
8068.7,9.96E-16
8072.8,9.80E-16
8076.8,9.56E-16
8080.8,9.63E-16
8084.8,9.71E-16
8088.9,9.58E-16
8092.9,9.64E-16
8096.9,9.62E-16
8100.9,9.44E-16
8105,9.70E-16
8109,9.73E-16
8113,9.51E-16
8117,9.48E-16
8121.1,9.49E-16
